,INVENTARISASI ASET SUNGAI ( Towari - Lasusua ) DI SULAWESI TENGGARA,,,,,,,,,,,,,,,,,,,,,,,
,TAHUN DATA :  2017,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
NO,Nama Sungai,I. INFORMASI WILAYAH SUNGAI,,,II. KODIFIKASI,,,Kondisi,III. LOKASI,III. LOKASI,,IV. MANFAAT,,,,V. DATA TEKNIS,,,V. DATA TEKNIS,,,,VI. KOORDINAT,
,,WS,DAS,Status,Kode bidang PU,Kode Dasar Jenis Infrastruktur,Kode Infrastruktur,,Kabupaten,Kecamatan,Kelurahan,Irigasi (Ha),DMI (m3/dtk),PLTA,Ternak (ekor),Orde,Luas Das (Km2),Panjang Sungai (Km),Lebar Max (m),"Kelerengan rata""",Q max (m3 / detik),Keterangan,E,S
,,,,,,,,,,,,,,,,,,,,,,,,
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
49,Rambu-Rambu,Lasolo - Konaweha,Konaweha,Non Lintas,1,3,740300014,Baik,Konawe,Ranomeeto,Rambu-rambu jaya,,64.81,,,2,6504.2353,13.2,,,,,,
50,Amoito,Lasolo - Konaweha,Konaweha,Non Lintas,1,3,740300015,Baik,Konawe,Ranomeeto,Amoito,,64.81,,,3,6504.2353,5.3,,,,,,
51,Boro-boro,Lasolo - Konaweha,Konaweha,Non Lintas,1,3,740300016,Baik,Konawe,Ranomeeto,Boro-boro,,64.81,,,2,6504.2353,21.2,,,,,,
52,Duduri,Lasolo - Konaweha,Konaweha,Non Lintas,1,3,740300017,Baik,Konawe,Ranomeeto,Duduri,,64.81,,,3,6504.2353,3.5,,,,,,
53,Aronggo,Lasolo - Konaweha,Konaweha,Non Lintas,1,3,740300018,Baik,Konawe,Landono,Aronggo,,64.81,,,2,6504.2353,12.6,,,,,,
54,Landono,Lasolo - Konaweha,Konaweha,Non Lintas,1,3,740300019,Baik,Konawe,Landono,Tetesingi,,64.81,,,2,6504.2353,15.7,,,,,,
55,Onewila,Lasolo - Konaweha,Konaweha,Non Lintas,1,3,740300020,Baik,Konawe,Ranomeeto,Onewila,,64.81,,,3,6504.2353,6.2,,,,,,
56,Amoito,Lasolo - Konaweha,Konaweha,Non Lintas,1,3,740300021,Baik,Konawe,Ranomeeto,Amoito,,64.81,,,3,6504.2353,7.3,,,,,,
57,Lahuau,Lasolo - Konaweha,Konaweha,Non Lintas,1,3,740300022,Baik,Konawe,,,,64.81,,,2,6504.2353,9.2,,,,,,
58,Molawe,Lasolo - Konaweha,Konaweha,Non Lintas,1,3,740300023,Baik,Konawe,Mowila,Mowila,,64.81,,,2,6504.2353,28.3,,,,,,
